,Name,Class,Role,Tier,Score,Trend,Win %,Role %,Pick %,Ban %,KDA,Patch
7064,Gangplank,Fighter,MID,A,48.03,1.07,51.08,18.33,2.06,16.72,2.23,13.4
7065,Garen,Fighter,TOP,S,57.14,0.3,49.58,87.51,4.82,1.61,2.02,13.4
7066,Gnar,Fighter,TOP,B,45.38,-1.09,47.56,96.73,3.6,0.5,1.86,13.4
7067,Gragas,Fighter,JUNGLE,A,54.57,5.65,50.38,48.01,5.05,2.91,2.94,13.4
7068,Gragas,Fighter,TOP,A,50.33,4.38,49.57,30.22,3.19,2.91,2.24,13.4
7069,Gragas,Fighter,MID,A,48.44,0.0,50.93,17.33,1.8,2.91,2.62,13.4
7070,Graves,Marksman,JUNGLE,B,46.4,-0.64,48.48,87.18,4.44,1.81,2.55,13.4
7071,Gwen,Fighter,TOP,B,43.95,-3.79,48.92,87.46,2.93,0.98,1.73,13.4
7072,Hecarim,Fighter,JUNGLE,A,50.42,3.47,49.35,98.82,4.86,4.81,2.63,13.4
7073,Heimerdinger,Mage,MID,B,46.22,-1.27,52.27,17.97,0.69,3.71,2.05,13.4
7074,Heimerdinger,Mage,SUPPORT,B,43.18,-2.26,51.32,59.83,2.13,3.71,2.03,13.4
7075,Heimerdinger,Mage,TOP,C,36.48,-1.31,51.47,13.82,0.51,3.71,1.71,13.4
7076,Illaoi,Fighter,TOP,S,66.36,8.45,51.82,94.57,5.64,10.59,1.5,13.4
7077,Irelia,Fighter,TOP,S,60.42,0.96,49.83,49.65,4.92,16.53,1.64,13.4
7078,Irelia,Fighter,MID,A,50.5,0.83,50.13,48.89,4.89,16.53,1.83,13.4
7079,Ivern,Support,JUNGLE,B,43.98,10.22,50.12,81.93,1.15,0.42,3.57,13.4
7080,Ivern,Support,SUPPORT,D,24.78,0.38,44.64,10.18,0.14,0.35,2.39,13.4
7081,Janna,Support,SUPPORT,A,49.28,-3.25,50.09,96.94,3.11,0.78,3.09,13.4
7082,Jarvan IV,Tank,JUNGLE,God,80.57,0.59,52.89,90.69,10.28,6.7,3.33,13.4
7083,Jax,Fighter,TOP,God,91.37,-2.13,51.17,86.91,8.9,20.82,1.7,13.4
7084,Jax,Fighter,JUNGLE,D,34.64,0.0,48.98,10.16,1.07,20.82,2.12,13.4
7085,Jayce,Fighter,TOP,S,64.21,4.3,49.44,72.99,6.21,4.02,1.84,13.4
7086,Jayce,Fighter,MID,A,48.12,-2.51,51.4,25.15,2.12,4.02,2.22,13.4
7087,Jhin,Marksman,ADC,God,74.94,-5.45,50.42,93.92,16.09,3.76,2.96,13.4
7088,Jinx,Marksman,ADC,B,46.47,-0.64,50.31,98.12,7.74,0.62,2.31,13.4
7089,K'Sante,Fighter,TOP,C,41.42,-4.25,45.47,92.11,3.49,5.07,1.86,13.4
7090,Kai'Sa,Marksman,ADC,God,77.42,2.97,50.64,96.15,18.14,3.31,2.49,13.4
7091,Kalista,Marksman,ADC,D,27.69,-1.73,48.67,84.01,2.28,0.56,2.23,13.4
7092,Karma,Mage,SUPPORT,S,60.06,-2.62,48.44,90.11,7.67,2.45,2.68,13.4
7093,Karthus,Mage,MID,B,44.1,-1.2,50.53,11.39,0.34,1.8,2.32,13.4
7094,Karthus,Mage,JUNGLE,C,37.77,1.54,48.66,59.04,1.85,1.8,2.48,13.4
7095,Karthus,Mage,ADC,C,36.79,-0.89,54.27,21.71,0.78,1.8,2.28,13.4
7096,Kassadin,Assassin,MID,A,49.51,-1.13,49.17,96.9,3.47,14.97,2.62,13.4
7097,Katarina,Assassin,MID,A,53.62,1.26,48.97,95.52,6.87,8.47,2.36,13.4
7098,Kayle,Fighter,TOP,A,50.67,-1.43,52.05,82.23,2.87,0.71,1.84,13.4
7099,Kayle,Fighter,MID,B,45.07,-0.91,51.45,13.74,0.41,0.71,2.19,13.4
7100,Kayn,Fighter,JUNGLE,S,66.99,-3.38,50.69,96.36,8.97,7.34,2.44,13.4
7101,Kennen,Mage,MID,B,46.9,-3.19,52.14,17.77,0.25,0.3,2.45,13.4
7102,Kennen,Mage,TOP,C,35.64,-4.85,48.59,77.31,1.2,0.33,1.95,13.4
7103,Kha'Zix,Assassin,JUNGLE,A,48.27,-0.41,49.79,97.68,4.28,1.63,2.52,13.4
7104,Kindred,Marksman,JUNGLE,B,43.74,-0.7,49.18,94.77,3.69,4.27,2.19,13.4
7105,Kled,Fighter,TOP,A,52.26,-2.19,51.63,88.01,2.77,1.65,2.29,13.4
7106,Kled,Fighter,MID,A,48.87,0.0,53.22,10.01,0.31,1.65,2.5,13.4
7107,Kog'Maw,Marksman,ADC,D,31.0,-4.65,50.99,88.08,1.58,0.34,2.22,13.4
7108,LeBlanc,Assassin,MID,B,46.12,0.1,47.5,90.16,3.17,4.1,2.75,13.4
7109,Lee Sin,Fighter,JUNGLE,God,92.11,3.29,49.47,90.35,15.83,9.81,2.75,13.4
7110,Leona,Tank,SUPPORT,A,50.24,0.16,49.83,98.81,4.51,3.81,2.33,13.4
7111,Lillia,Fighter,JUNGLE,B,44.09,-3.54,49.66,87.49,2.74,1.44,2.76,13.4
7112,Lissandra,Mage,MID,A,49.64,1.55,50.8,93.08,2.91,0.93,2.54,13.4
7113,Lucian,Marksman,ADC,B,43.29,-4.19,48.91,91.51,7.76,2.42,2.25,13.4
7114,Lulu,Support,SUPPORT,God,70.23,0.02,48.99,97.9,9.16,8.81,2.96,13.4
7115,Lux,Mage,SUPPORT,God,92.81,2.27,50.6,73.04,14.02,12.27,2.46,13.4
7116,Lux,Mage,MID,S,55.63,-1.01,50.8,24.41,4.72,12.27,2.96,13.4
7117,Malphite,Tank,TOP,God,72.47,16.5,51.92,73.59,6.14,4.0,2.47,13.4
7118,Malphite,Tank,MID,A,49.98,2.41,53.06,10.51,0.87,4.0,2.59,13.4
7119,Malphite,Tank,SUPPORT,D,28.04,-3.54,45.91,11.58,0.94,4.03,1.98,13.4
7120,Malzahar,Mage,MID,A,51.63,3.3,52.09,90.61,3.35,3.48,2.32,13.4
7121,Maokai,Tank,JUNGLE,B,47.7,-48.64,50.07,58.14,3.14,11.85,2.8,13.4
7122,Maokai,Tank,SUPPORT,B,43.37,-7.34,51.33,33.39,1.79,11.85,2.18,13.4
7123,Master Yi,Assassin,JUNGLE,S,58.72,-3.16,49.67,92.28,6.83,14.99,2.05,13.4
7124,Miss Fortune,Marksman,ADC,A,53.01,2.54,50.6,86.49,9.82,2.24,2.26,13.4
7125,Miss Fortune,Marksman,SUPPORT,D,25.56,-2.97,44.56,11.43,1.04,2.24,1.95,13.4
7126,Mordekaiser,Fighter,TOP,God,73.45,4.95,50.38,83.19,6.81,11.57,1.92,13.4
7127,Mordekaiser,Fighter,JUNGLE,C,39.81,0.24,51.19,10.69,1.01,12.51,2.34,13.4
7128,Morgana,Mage,SUPPORT,God,71.72,1.19,50.3,91.38,7.16,28.16,2.44,13.4
7129,Nami,Support,SUPPORT,S,66.14,-3.69,50.03,99.51,7.97,2.1,3.08,13.4
7130,Nasus,Fighter,TOP,S,62.31,4.52,51.82,81.38,4.8,4.37,1.99,13.4
7131,Nasus,Fighter,MID,B,46.36,-1.99,52.15,10.54,0.41,4.37,2.24,13.4
7132,Nautilus,Tank,SUPPORT,God,72.09,0.79,50.97,95.81,9.4,9.99,2.35,13.4
7133,Neeko,Mage,MID,B,47.96,-1.63,51.96,57.75,1.29,0.38,2.36,13.4
7134,Neeko,Mage,TOP,C,39.28,-1.24,52.82,10.35,0.18,0.41,1.99,13.4
7135,Neeko,Mage,SUPPORT,D,33.68,-1.02,49.41,26.39,0.57,0.41,2.0,13.4
7136,Nidalee,Assassin,JUNGLE,B,45.06,0.61,47.57,90.16,4.1,2.75,2.81,13.4
7137,Nilah,Marksman,ADC,C,41.67,-0.18,54.79,96.36,2.2,3.61,2.25,13.4
7138,Nocturne,Assassin,JUNGLE,A,53.8,4.04,52.42,93.01,4.11,2.56,2.64,13.4
7139,Nunu,Tank,JUNGLE,A,53.84,1.39,50.82,91.92,4.89,2.05,2.8,13.4
7140,Olaf,Fighter,TOP,S,58.56,3.53,52.26,86.33,4.11,4.43,1.85,13.4
7141,Olaf,Fighter,JUNGLE,C,39.34,12.04,51.96,11.3,0.49,4.43,2.37,13.4
7142,Orianna,Mage,MID,A,49.09,0.86,49.91,92.13,2.79,0.25,2.79,13.4
7143,Ornn,Tank,TOP,S,55.06,-2.07,51.02,92.81,3.44,0.53,2.41,13.4
7144,Pantheon,Fighter,MID,A,48.8,-2.33,51.57,30.81,2.18,2.03,2.33,13.4
7145,Pantheon,Fighter,TOP,B,44.59,-4.51,50.15,33.55,2.14,2.03,2.07,13.4
7146,Pantheon,Fighter,SUPPORT,C,35.71,-5.8,48.52,25.32,1.83,2.03,1.87,13.4
7147,Poppy,Tank,JUNGLE,C,41.19,6.17,50.73,43.22,1.33,0.79,2.69,13.4
7148,Poppy,Tank,TOP,C,37.99,-3.55,49.02,44.34,1.33,0.79,2.08,13.4
7149,Pyke,Support,SUPPORT,S,66.32,2.98,50.48,95.56,8.04,13.38,2.17,13.4
7150,Qiyana,Assassin,MID,C,41.74,-2.42,47.65,83.61,2.19,0.68,2.07,13.4
7151,Quinn,Marksman,MID,B,47.4,1.96,53.09,11.34,0.17,0.61,2.25,13.4
7152,Quinn,Marksman,TOP,C,41.35,-2.63,51.34,77.06,1.28,0.61,1.9,13.4
7153,Rakan,Support,SUPPORT,God,75.95,9.46,53.37,98.66,8.99,1.93,3.02,13.4
7154,Rammus,Tank,JUNGLE,S,59.02,7.76,53.73,87.5,3.77,8.56,3.21,13.4
7155,Rek'Sai,Fighter,JUNGLE,D,33.95,2.15,47.71,94.81,1.44,0.66,2.38,13.4
7156,Rell,Tank,SUPPORT,B,43.6,-4.83,51.41,98.61,1.66,0.37,2.44,13.4
7157,Renata Glasc,Support,SUPPORT,B,46.63,-0.13,50.7,98.62,2.6,1.09,2.67,13.4
7158,Renekton,Fighter,TOP,A,50.68,-1.52,47.78,86.33,4.49,2.98,1.79,13.4
7159,Renekton,Fighter,MID,B,44.41,0.08,51.13,12.18,0.65,2.98,2.04,13.4
7160,Rengar,Assassin,JUNGLE,B,45.08,1.94,48.98,73.84,3.85,7.57,2.3,13.4
7161,Rengar,Assassin,TOP,C,40.5,-1.27,50.57,22.88,1.19,7.57,1.99,13.4
7162,Riven,Fighter,TOP,S,63.22,12.83,50.15,90.93,5.91,2.45,1.85,13.4
7163,Rumble,Fighter,MID,B,47.46,-2.58,51.02,42.02,1.12,0.63,2.65,13.4
7164,Rumble,Fighter,TOP,C,36.14,-3.91,48.44,45.8,1.14,0.63,2.13,13.4
7165,Ryze,Mage,MID,B,47.01,0.78,49.51,85.57,2.8,0.67,2.43,13.4
7166,Ryze,Mage,TOP,D,32.25,-9.39,48.91,12.26,0.4,0.67,1.97,13.4
7167,Samira,Marksman,ADC,S,54.93,-17.31,49.99,97.9,8.51,25.64,2.21,13.4
7168,Sejuani,Tank,JUNGLE,S,57.5,-0.63,51.43,84.06,4.92,1.65,3.26,13.4
7169,Sejuani,Tank,TOP,C,38.73,-5.45,50.05,11.31,0.63,1.65,2.44,13.4
7170,Senna,Marksman,SUPPORT,S,65.5,16.18,51.34,89.73,7.78,2.04,2.59,13.4
7171,Seraphine,Mage,SUPPORT,B,47.15,-1.58,48.96,67.98,4.07,1.25,2.44,13.4
7172,Seraphine,Mage,ADC,B,42.99,0.76,54.31,21.99,1.04,1.25,3.06,13.4
7173,Sett,Fighter,TOP,God,73.26,7.42,50.21,83.83,7.68,4.64,1.74,13.4
7174,Shaco,Assassin,JUNGLE,S,57.03,-1.94,48.92,79.71,5.95,16.4,2.67,13.4
7175,Shaco,Assassin,SUPPORT,C,41.79,2.94,51.5,14.05,0.99,16.4,2.35,13.4
7176,Shen,Tank,TOP,S,61.64,-2.05,51.72,84.95,3.66,0.82,3.03,13.4
7177,Shyvana,Fighter,JUNGLE,C,38.45,4.43,49.85,81.11,1.35,0.34,2.49,13.4
7178,Shyvana,Fighter,TOP,D,29.92,-10.57,48.33,11.66,0.19,0.39,1.96,13.4
7179,Singed,Tank,MID,A,53.96,-0.41,55.38,20.18,0.47,0.6,2.88,13.4
7180,Singed,Tank,TOP,B,46.32,-2.68,51.55,68.95,1.92,0.6,2.09,13.4
7181,Sion,Tank,TOP,S,62.26,2.92,51.15,82.79,5.44,1.48,1.81,13.4
7182,Sivir,Marksman,ADC,B,43.57,-2.58,50.95,98.29,5.6,0.94,2.49,13.4
7183,Skarner,Fighter,JUNGLE,C,40.53,3.36,51.36,74.59,0.77,0.16,2.68,13.4
7184,Skarner,Fighter,TOP,D,31.31,-6.33,48.39,23.51,0.2,0.16,2.16,13.4
7185,Sona,Support,SUPPORT,A,51.54,-4.4,51.36,97.85,3.33,0.25,2.91,13.4
7186,Soraka,Support,SUPPORT,A,53.74,-2.22,50.17,96.4,4.82,1.88,2.75,13.4
7187,Swain,Mage,MID,A,52.15,-1.08,53.52,22.86,1.09,3.39,2.86,13.4
7188,Swain,Mage,SUPPORT,B,45.32,-5.19,48.76,63.14,3.72,3.39,2.33,13.4
7189,Sylas,Mage,JUNGLE,S,58.18,-16.06,48.82,43.71,6.5,19.49,2.43,13.4
7190,Sylas,Mage,MID,S,57.0,3.18,49.84,48.49,7.32,19.49,2.21,13.4
7191,Syndra,Mage,MID,A,49.62,-0.2,49.07,92.16,4.92,2.6,2.32,13.4
7192,Tahm Kench,Support,TOP,B,43.21,-3.57,49.56,66.63,1.86,0.77,2.3,13.4
7193,Tahm Kench,Support,SUPPORT,D,32.45,-1.46,48.02,22.66,0.59,0.82,2.28,13.4
7194,Taliyah,Mage,MID,B,46.85,-1.54,51.05,65.19,1.45,0.47,2.36,13.4
7195,Taliyah,Mage,JUNGLE,D,35.48,4.85,49.17,23.13,0.53,0.47,2.69,13.4
7196,Talon,Assassin,MID,B,46.11,-1.09,49.25,73.59,2.95,0.98,2.23,13.4
7197,Talon,Assassin,JUNGLE,D,30.93,5.14,46.99,23.19,0.93,0.98,2.4,13.4
7198,Taric,Support,SUPPORT,A,49.06,5.33,53.34,86.82,1.61,0.38,2.8,13.4
7199,Teemo,Marksman,TOP,S,56.62,5.35,50.66,74.51,4.25,6.55,1.76,13.4
7200,Thresh,Support,SUPPORT,God,85.76,20.18,51.1,97.88,13.4,3.93,2.64,13.4
7201,Tristana,Marksman,ADC,A,49.3,-2.53,50.91,72.53,7.89,4.66,2.32,13.4
7202,Tristana,Marksman,MID,A,48.62,-1.96,52.0,23.35,2.16,4.66,2.12,13.4
7203,Trundle,Fighter,JUNGLE,C,41.36,5.79,50.47,74.61,1.6,1.03,2.64,13.4
7204,Trundle,Fighter,TOP,D,30.31,-3.0,49.11,20.4,0.45,1.07,1.56,13.4
7205,Tryndamere,Fighter,MID,B,43.27,-5.2,50.69,13.07,0.35,2.42,2.06,13.4
7206,Tryndamere,Fighter,TOP,B,42.74,-3.86,49.53,78.48,2.38,2.42,1.76,13.4
7207,Twisted Fate,Mage,MID,B,43.41,-2.1,47.89,89.95,2.29,0.2,2.36,13.4
7208,Twitch,Marksman,ADC,B,43.71,-4.69,50.82,53.72,5.15,14.15,2.43,13.4
7209,Twitch,Marksman,SUPPORT,B,42.88,-3.06,49.02,33.18,2.92,14.15,2.06,13.4
7210,Udyr,Fighter,JUNGLE,A,48.37,-15.19,49.85,83.63,3.89,11.84,2.48,13.4
7211,Udyr,Fighter,TOP,D,34.06,-9.4,49.71,13.67,0.59,11.84,1.78,13.4
7212,Urgot,Fighter,TOP,A,48.67,0.35,50.97,92.91,2.72,1.11,1.98,13.4
7213,Varus,Marksman,ADC,A,54.32,-0.81,49.79,87.62,10.53,3.5,2.41,13.4
7214,Vayne,Marksman,ADC,D,34.57,-2.12,48.88,79.0,5.06,4.26,2.01,13.4
7215,Vayne,Marksman,TOP,D,34.5,-4.78,49.5,17.87,1.04,4.26,1.57,13.4
7216,Veigar,Mage,MID,S,56.61,11.18,51.07,72.73,6.82,3.97,2.46,13.4
7217,Veigar,Mage,ADC,C,37.45,8.72,52.92,15.55,1.33,3.97,2.6,13.4
7218,Vel'Koz,Mage,MID,B,46.81,-0.36,50.89,30.59,0.83,0.5,2.65,13.4
7219,Vel'Koz,Mage,SUPPORT,B,43.75,-2.84,51.67,65.95,1.86,0.46,2.23,13.4
7220,Vex,Mage,MID,A,52.19,1.68,51.38,93.64,3.85,4.42,2.5,13.4
7221,Vi,Fighter,JUNGLE,S,62.74,-2.14,51.83,95.09,7.28,3.41,2.52,13.4
7222,Viego,Assassin,JUNGLE,S,64.72,12.67,49.33,93.34,9.51,3.99,2.38,13.4
7223,Viktor,Mage,MID,A,53.99,2.39,50.94,95.52,5.77,2.8,2.34,13.4
7224,Vladimir,Mage,MID,A,49.66,0.67,50.06,75.33,3.67,4.2,2.46,13.4
7225,Vladimir,Mage,TOP,C,38.65,-1.51,49.81,23.19,1.05,4.2,2.13,13.4
7226,Volibear,Fighter,JUNGLE,B,45.88,7.11,52.87,42.73,1.62,0.91,2.58,13.4
7227,Volibear,Fighter,TOP,C,35.54,-4.2,47.83,53.45,1.73,0.91,1.74,13.4
7228,Warwick,Fighter,JUNGLE,A,48.7,-0.46,49.71,63.68,4.64,6.61,2.12,13.4
7229,Warwick,Fighter,TOP,B,43.01,-2.49,50.46,33.25,1.9,6.61,1.82,13.4
7230,Wukong,Fighter,JUNGLE,S,62.18,2.07,52.24,80.72,6.39,4.09,2.79,13.4
7231,Wukong,Fighter,TOP,C,41.76,-2.08,50.96,16.26,1.21,4.09,2.11,13.4
7232,Xayah,Marksman,ADC,God,84.92,18.79,52.82,98.82,16.54,13.5,2.53,13.4
7233,Xerath,Mage,SUPPORT,A,49.16,-0.44,50.33,71.47,3.64,3.06,2.56,13.4
7234,Xerath,Mage,MID,A,49.11,1.17,50.21,25.53,1.27,3.06,3.28,13.4
7235,Xin Zhao,Fighter,JUNGLE,C,42.04,4.11,50.48,87.04,2.4,0.39,2.27,13.4
7236,Yasuo,Fighter,MID,S,61.05,7.84,48.86,70.92,11.08,17.29,1.72,13.4
7237,Yasuo,Fighter,TOP,C,42.22,-1.54,47.65,18.83,2.8,17.29,1.46,13.4
7238,Yone,Assassin,MID,A,54.45,2.65,49.72,61.81,7.63,9.1,1.91,13.4
7239,Yone,Assassin,TOP,A,51.35,0.02,48.75,35.1,4.16,9.1,1.63,13.4
7240,Yorick,Fighter,TOP,A,52.81,0.89,51.1,91.93,3.8,4.23,1.58,13.4
7241,Yuumi,Support,SUPPORT,C,38.23,-5.95,41.32,98.22,3.98,5.96,3.6,13.4
7242,Zac,Tank,JUNGLE,S,57.38,-3.01,51.03,76.04,4.41,10.21,3.43,13.4
7243,Zac,Tank,TOP,B,46.89,-0.24,53.07,10.54,0.61,10.21,2.71,13.4
7244,Zed,Assassin,MID,S,64.46,6.26,49.14,77.51,9.44,32.39,2.27,13.4
7245,Zed,Assassin,JUNGLE,C,35.63,0.31,46.19,17.6,1.95,32.39,2.36,13.4
7246,Zeri,Marksman,ADC,A,48.72,-2.38,50.4,95.66,7.6,3.5,2.54,13.4
7247,Ziggs,Mage,MID,B,47.22,0.4,50.91,53.02,1.59,0.35,2.44,13.4
7248,Ziggs,Mage,ADC,C,39.16,1.96,54.17,34.58,0.89,0.35,2.62,13.4
7249,Ziggs,Mage,SUPPORT,D,35.08,1.1,50.38,12.01,0.36,0.37,2.04,13.4
7250,Zilean,Support,MID,A,52.78,1.73,52.96,12.92,0.32,0.93,3.54,13.4
7251,Zilean,Support,SUPPORT,B,44.96,-2.17,49.87,82.81,2.1,0.93,3.01,13.4
7252,Zoe,Mage,MID,B,47.13,-3.21,48.8,87.15,3.07,1.88,2.59,13.4
7253,Zoe,Mage,SUPPORT,D,29.74,-0.95,47.48,10.66,0.36,1.81,2.11,13.4
7254,Zyra,Mage,SUPPORT,B,47.48,-2.62,51.0,91.43,3.37,2.03,2.17,13.4
7255,Aatrox,Fighter,TOP,A,54.25,2.78,46.86,92.37,5.15,5.83,1.78,13.5
7256,Ahri,Mage,MID,S,61.82,2.39,50.95,94.63,7.43,2.42,2.67,13.5
7257,Akali,Assassin,MID,A,52.27,1.2,47.11,73.97,6.22,10.29,2.27,13.5
7258,Akali,Assassin,TOP,D,35.28,-2.37,45.81,24.91,2.05,10.29,1.95,13.5
7259,Akshan,Marksman,MID,A,48.32,1.38,51.29,67.81,2.33,3.5,2.25,13.5
7260,Akshan,Marksman,TOP,C,41.11,-1.46,52.13,22.94,0.8,3.5,2.01,13.5
7261,Alistar,Tank,SUPPORT,A,48.76,0.68,50.35,87.08,3.37,0.96,2.44,13.5
7262,Amumu,Tank,JUNGLE,A,48.68,-1.97,50.43,55.97,3.13,4.11,2.66,13.5
7263,Amumu,Tank,SUPPORT,B,45.76,2.37,50.61,42.69,2.06,4.11,2.07,13.5
7264,Anivia,Mage,MID,A,51.93,-1.63,51.44,84.17,2.52,3.66,2.89,13.5
7265,Anivia,Mage,SUPPORT,D,34.89,3.52,45.79,10.45,0.29,3.56,2.16,13.5
7266,Annie,Mage,MID,S,58.02,0.04,52.98,49.75,4.28,11.98,2.51,13.5
7267,Annie,Mage,SUPPORT,S,56.59,-7.79,53.01,47.28,4.38,11.98,2.6,13.5
7268,Aphelios,Marksman,ADC,D,31.4,1.26,47.17,97.62,5.75,0.73,2.02,13.5
7269,Ashe,Marksman,SUPPORT,B,45.2,-29.25,47.37,46.06,4.41,5.56,2.15,13.5
7270,Ashe,Marksman,ADC,C,36.75,-6.29,48.68,51.0,5.38,5.56,2.29,13.5
7271,Aurelion Sol,Mage,MID,God,94.06,-0.48,52.33,87.99,10.39,48.11,2.67,13.5
7272,Azir,Mage,MID,D,34.91,-3.6,44.27,89.6,2.12,0.46,1.96,13.5
7273,Bard,Support,SUPPORT,B,46.9,2.18,49.63,96.14,2.13,0.3,2.91,13.5
7274,Bel'Veth,Fighter,JUNGLE,A,50.76,2.99,51.35,89.97,3.64,6.28,2.39,13.5
7275,Blitzcrank,Tank,SUPPORT,S,61.59,-8.66,51.25,97.12,7.9,19.22,2.42,13.5
7276,Brand,Mage,SUPPORT,B,45.84,3.16,50.11,75.42,3.04,3.68,1.77,13.5
7277,Brand,Mage,MID,B,41.92,0.71,50.26,16.94,0.79,4.46,2.02,13.5
7278,Braum,Support,SUPPORT,B,47.83,2.25,50.57,98.3,2.02,0.31,2.79,13.5
7279,Caitlyn,Marksman,ADC,God,79.94,-11.44,48.73,94.65,14.6,15.67,2.18,13.5
7280,Camille,Fighter,TOP,S,56.3,-1.03,49.55,93.77,4.5,2.19,1.95,13.5
7281,Cassiopeia,Mage,MID,A,49.14,-1.47,51.6,78.1,2.49,2.58,2.24,13.5
7282,Cassiopeia,Mage,TOP,C,38.53,-4.57,52.1,13.7,0.47,2.58,1.92,13.5
7283,Cho'Gath,Tank,TOP,S,59.22,4.89,51.55,55.51,4.08,2.01,2.11,13.5
7284,Cho'Gath,Tank,MID,B,46.33,-2.1,51.68,15.86,1.07,2.01,2.35,13.5
7285,Cho'Gath,Tank,ADC,D,18.72,0.0,48.1,19.19,1.35,2.01,2.24,13.5
7286,Corki,Marksman,MID,C,36.73,-3.94,46.71,89.23,0.85,0.15,2.14,13.5
7287,Darius,Fighter,TOP,God,90.89,0.78,49.49,93.61,8.56,21.4,1.82,13.5
7288,Diana,Fighter,JUNGLE,A,50.85,-1.77,49.98,66.45,4.71,3.24,2.41,13.5
7289,Diana,Fighter,MID,B,45.77,2.03,50.54,31.46,2.12,3.24,2.07,13.5
7290,Dr. Mundo,Marksman,TOP,A,50.14,-1.34,51.53,85.85,2.71,2.92,1.89,13.5
7291,Draven,Fighter,ADC,B,47.95,0.14,49.36,95.57,6.6,20.76,2.12,13.5
7292,Ekko,Assassin,JUNGLE,S,56.7,-1.56,50.77,67.34,5.58,5.03,2.72,13.5
7293,Ekko,Assassin,MID,B,46.59,-0.51,50.02,29.96,2.36,5.03,2.29,13.5
7294,Elise,Mage,JUNGLE,A,48.52,-1.9,49.96,95.24,3.11,8.11,2.71,13.5
7295,Evelynn,Assassin,JUNGLE,A,51.95,-0.31,49.52,98.03,4.24,9.17,2.9,13.5
7296,Ezreal,Marksman,ADC,God,79.2,7.47,48.15,93.33,16.57,3.61,2.38,13.5
7297,Fiddlesticks,Mage,JUNGLE,A,51.46,1.58,51.03,86.81,3.57,4.0,2.74,13.5
7298,Fiora,Fighter,TOP,God,70.59,-0.33,50.47,97.77,5.98,14.57,1.71,13.5
7299,Fizz,Assassin,MID,A,55.92,6.64,51.32,95.51,4.97,5.3,2.44,13.5
7300,Galio,Tank,MID,B,47.38,-0.47,50.43,80.64,1.83,0.3,2.65,13.5
7301,Galio,Tank,SUPPORT,C,39.0,6.85,48.09,16.05,0.35,0.29,2.25,13.5
7302,Gangplank,Fighter,TOP,S,64.23,-23.35,47.7,79.41,6.01,11.64,1.86,13.5
7303,Gangplank,Fighter,MID,B,42.67,-5.37,49.21,19.25,1.52,11.64,2.1,13.5
7304,Garen,Fighter,TOP,A,55.61,-1.53,49.22,86.44,4.5,1.47,1.98,13.5
7305,Gnar,Fighter,TOP,B,46.19,0.81,47.83,96.44,3.56,0.55,1.84,13.5
7306,Gragas,Fighter,JUNGLE,S,58.08,3.51,50.11,51.39,6.0,5.15,2.94,13.5
7307,Gragas,Fighter,TOP,A,49.95,-0.38,48.33,28.81,3.45,5.15,2.16,13.5
7308,Gragas,Fighter,MID,B,47.58,-0.87,50.76,15.84,1.77,5.15,2.54,13.5
7309,Graves,Marksman,JUNGLE,A,48.02,1.62,48.2,88.25,4.71,1.84,2.56,13.5
7310,Gwen,Fighter,TOP,B,45.6,1.65,49.49,87.61,2.92,0.97,1.75,13.5
7311,Hecarim,Fighter,JUNGLE,S,57.01,6.6,50.12,99.2,6.07,5.76,2.72,13.5
7312,Heimerdinger,Mage,MID,B,44.77,-1.45,52.17,20.78,0.72,2.94,2.01,13.5
7313,Heimerdinger,Mage,SUPPORT,B,44.75,1.57,50.42,57.19,1.84,2.94,2.0,13.5
7314,Heimerdinger,Mage,TOP,C,37.06,0.58,51.8,14.63,0.5,2.94,1.76,13.5
7315,Illaoi,Fighter,TOP,God,66.06,-0.29,51.35,94.31,5.41,11.16,1.46,13.5
7316,Irelia,Fighter,TOP,S,58.34,-2.08,49.84,48.09,4.44,15.34,1.61,13.5
7317,Irelia,Fighter,MID,A,48.88,-1.62,48.74,50.2,4.52,15.34,1.77,13.5
7318,Ivern,Support,JUNGLE,C,38.35,-5.62,46.61,80.13,1.02,0.36,3.28,13.5
7319,Ivern,Support,SUPPORT,D,33.32,8.54,44.62,10.41,0.13,0.33,2.36,13.5
7320,Janna,Support,SUPPORT,A,48.44,-0.83,49.78,95.33,2.55,0.58,3.07,13.5
7321,Jarvan IV,Tank,JUNGLE,God,81.66,1.09,52.86,92.52,10.93,11.37,3.34,13.5
7322,Jax,Fighter,TOP,God,88.48,-2.9,50.69,85.91,8.29,18.49,1.69,13.5
7323,Jax,Fighter,JUNGLE,C,38.24,3.6,48.99,11.89,1.22,17.93,2.13,13.5
7324,Jayce,Fighter,TOP,S,65.18,0.97,49.13,74.53,6.16,4.08,1.81,13.5
7325,Jayce,Fighter,MID,B,46.61,-1.51,51.1,23.76,1.88,4.08,2.16,13.5
7326,Jhin,Marksman,ADC,God,72.27,-2.68,50.13,94.6,12.55,3.19,2.91,13.5
7327,Jinx,Marksman,ADC,God,94.33,47.86,51.87,98.62,18.14,3.25,2.42,13.5
7328,K'Sante,Fighter,TOP,A,48.09,6.67,45.94,89.88,4.41,4.22,1.88,13.5
7329,Kai'Sa,Marksman,ADC,God,90.09,12.67,50.83,94.78,17.54,3.3,2.5,13.5
